_id,operator_registration_number,address,unit,postal_code,property_type,ward_number,ward_name,address_for_geocode,location,latitude,longitude,coordinates
4330427,STR-2303-GZJKVV,51 Dewson St,2,M6H,Single/Semi-detached House,9,Davenport,"51 Dewson St, Toronto, ON, Canada","51, Dewson Street, Palmerston-Little Italy, Davenport, Toronto, Golden Horseshoe, Ontario, M6H 2N9, Canada",43.656365030464414,-79.4256168,
4330428,STR-2012-FVBHHD,454 Ruth Ave,,M2M,Single/Semi-detached House,18,Willowdale,"454 Ruth Ave, Toronto, ON, Canada","454, Ruth Avenue, Newtonbrook East, Willowdale, North York, Toronto, Golden Horseshoe, Ontario, M2M 3M6, Canada",43.79351251111111,-79.3973357,
4330429,STR-2208-GRWBHG,561 Sherbourne St,3603,M4X,Apartment,13,Toronto Centre,"561 Sherbourne St, Toronto, ON, Canada","561 Sherbourne, 561, Sherbourne Street, North St.James Town, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M4X 1W7, Canada",43.66946155,-79.37522195,
4330430,STR-2209-JCLRVM,91 Hove St,,M3H,Single/Semi-detached House,6,York Centre,"91 Hove St, Toronto, ON, Canada","91, Hove Street, Bathurst Manor, York Centre, North York, Toronto, Golden Horseshoe, Ontario, M2R 3V3, Canada",43.760877204142254,-79.44370525,
4330431,STR-2310-FYTKVR,36 Zorra St,1410,M8Z,Condominium,3,Etobicoke-Lakeshore,"36 Zorra St, Toronto, ON, Canada","36, Zorra Street, Etobicoke City Centre, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8Z 1R6, Canada",43.6197444,-79.52177825,
4330432,STR-2310-HSKBHY,35 Grant St,,M4M,Single/Semi-detached House,14,Toronto-Danforth,"35 Grant St, Toronto, ON, Canada","35, Grant Street, South Riverdale, Toronto—Danforth, Toronto, Golden Horseshoe, Ontario, M4M 1H1, Canada",43.66027312230614,-79.34882636,
4330433,STR-2311-JCDBHZ,251 Jarvis St,4801,M5B,Condominium,13,Toronto Centre,"251 Jarvis St, Toronto, ON, Canada","251, Jarvis Street, Moss Park, Toronto Centre, Toronto, Golden Horseshoe, Ontario, M5B 2L1, Canada",43.65754623404256,-79.37461538,
4330434,STR-2401-HKFKVX,223 Lisgar St,,M6J,Duplex/Triplex/Fourplex,9,Davenport,"223 Lisgar St, Toronto, ON, Canada","223, Lisgar Street, Beaconsfield Village, Davenport, Toronto, Golden Horseshoe, Ontario, M6J 1X8, Canada",43.64719923181818,-79.42494867,
4330435,STR-2402-HJFKVW,7 Watkinson Ave,104,M6P,Condominium,4,Parkdale-High Park,"7 Watkinson Ave, Toronto, ON, Canada","Watkinson Avenue, West Bend, Parkdale—High Park, Toronto, Golden Horseshoe, Ontario, M6P, Canada",43.66550784754109,-79.46002818,
4330436,STR-2404-FYFRVR,871 SHEPPARD AVE W,39,M3H,Townhouse/ Row House,6,York Centre,"871 SHEPPARD AVE W, Toronto, ON, Canada","871, Sheppard Avenue West, Clanton Park, York Centre, North York, Toronto, Golden Horseshoe, Ontario, M3H 2T5, Canada",43.7520308,-79.45437536,
