id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
696407278180533419,Lovely Location,134799582,Majid,,Annex,43.67092,-79.39519,Entire home/apt,450,28,10,2024-03-23,0.33,3,89,1,STR-2206-FXYKVD
696457318817239920,31-201 simple living space with private washroom,471873988,Kaixia,,Kensington-Chinatown,43.6557039008682,-79.39990967282655,Private room,78,28,2,2024-10-22,0.37,8,30,2,
696460661218975906,Basement Modern living space with private washroom,471873988,Kaixia,,Kensington-Chinatown,43.65549227417123,-79.4018342295074,Private room,78,28,0,,,8,34,0,
696464107547351397,Basement clean room in Kensington Market,471873988,Kaixia,,Kensington-Chinatown,43.65671,-79.402,Private room,,28,2,2025-02-15,0.60,8,31,2,
696602542310304703,Downtown Private 1 Bedroom Apartment with Patio,1498613,Diane,,Kensington-Chinatown,43.6487778,-79.4011833,Entire home/apt,132,28,11,2024-09-01,0.39,1,92,4,
696638535490228478,Lovely Room in the Heart of Downtown Toronto,371300312,Leanne,,Waterfront Communities-The Island,43.64022,-79.39242,Private room,160,28,0,,,1,363,0,STR-2208-HCCBHJ
696973520016945803,"Private one bedroom, two twin beds",43668850,Kunga,,Alderwood,43.61211,-79.53985,Entire home/apt,81,3,26,2024-08-01,0.95,1,13,10,STR-2208-JCCBHM
697004718610327555,"Luxury 2 bedroom townhouse, with  beautiful view",475771630,Gabriel G,,Downsview-Roding-CFB,43.73573469999999,-79.4807028,Entire home/apt,236,2,43,2025-01-05,1.93,1,339,15,STR-2210-HFKKVJ
697013674104755196,Elegant 3-Bedroom Gem in Toronto,390536890,Md Monir,,Oakridge,43.6922144428363,-79.27656899147577,Entire home/apt,366,1,48,2025-02-16,1.61,1,166,26,STR-2309-HWMKVY
697045300656398535,Luxury 2BD & 2Bath w Stunning Lake View Downtown,475788987,Ben,,Waterfront Communities-The Island,43.64011220280732,-79.39767889064368,Entire home/apt,250,3,73,2025-01-01,2.45,3,203,36,STR-2209-FRQDVC
697084075296771389,Walk 2 CN Tower Downtown Toronto 2 bedsw/v parking,83655210,Yewande Jennifer,,Waterfront Communities-The Island,43.64337,-79.38193,Entire home/apt,270,28,2,2022-10-02,0.07,7,365,0,STR-2208-HFKHHJ
697092422783840251,"Bright Private Room, Bathurst & St Clair W Subway",129487451,Ashley,,Humewood-Cedarvale,43.68428,-79.4243,Private room,45,28,6,2024-07-17,0.21,25,161,2,
697177315863595052,Cozy and Bright Retro Retreat in Upper Junction,130178952,Sarah,,Junction Area,43.67663,-79.47131,Private room,57,4,59,2025-02-21,1.92,4,363,25,STR-2011-HMDRVK
697254839940218097,DT Waterfront Condo in Toronto,475829321,C And E,,Waterfront Communities-The Island,43.63943,-79.39781,Entire home/apt,211,90,1,2024-09-04,0.17,1,357,1,
697409795001326631,"Bright, Stylish Bedroom in Downtown Toronto",305101900,Jiageng,,Dovercourt-Wallace Emerson-Junction,43.6705142,-79.4232452,Private room,74,1,128,2025-02-16,4.43,4,40,61,STR-2208-FXWBHD
697707083648815610,Liberty village lake view!,201294721,Ashley,,Niagara,43.63740529395937,-79.41465102676833,Entire home/apt,130,28,0,,,1,365,0,
698020867653764106,"Cozy, Clean and Newly Renovated Basement Apartment",283517431,Carol,,Wexford/Maryvale,43.74848,-79.3014,Entire home/apt,94,28,7,2024-01-14,0.24,2,122,0,
698423617477839123,Cozy Modern Two Bedroom Suite Heart of Downtown,414586142,Anacleto,,Kensington-Chinatown,43.65243369102815,-79.39942217689585,Entire home/apt,249,28,4,2022-11-26,0.14,2,365,0,STR-2012-FDTBHB
698503823240786040,Three bedroom with free parking premises,153725387,Tashi,,Willowridge-Martingrove-Richview,43.69069,-79.55907,Entire home/apt,216,1,12,2024-11-17,0.40,5,176,8,STR-2207-FQVXVC
698554262534243594,Beautiful waterfront townhouse with amazing views!,56194166,Belinda,,Niagara,43.63295,-79.40019,Entire home/apt,300,28,5,2023-08-11,0.23,1,364,0,STR-2210-FHZXVB
698560297819694433,Bright Studio on Taylor Creek Park,29164477,Ingrid D.,,Woodbine-Lumsden,43.69715,-79.30937,Entire home/apt,190,2,83,2024-09-11,2.81,1,89,26,STR-2208-FXYPHD
698598711254687814,Private 1 Bedroom Suite Downtown Queen St. E,129487451,Ashley,,Moss Park,43.65463,-79.36396,Entire home/apt,53,28,10,2024-05-31,0.34,25,323,3,
698640908730015606,STR-2206-GDSKVf  Yongfinch subway  elegant bedroom,454778715,Guoyu,,Newtonbrook West,43.785301,-79.426872,Private room,88,1,116,2025-02-16,3.80,3,29,53,STR-2206-GDSKVF
698710795631230745,Sky-views across downtown Toronto,1567778,Kelly,,Broadview North,43.6845593,-79.35709480000001,Private room,169,12,2,2024-11-26,0.38,1,179,2,STR-2409-GZVFBV
698724537605460226,Cozy one bedroom apartment in heart of Trinity,156090259,Mina,,Little Portugal,43.64908,-79.4253,Private room,110,1,198,2025-02-17,6.72,1,317,85,STR-2209-GRQDVG
699142886775251507,Casaloma peaceful 1 private bedroom step to subway,132861729,Lizhen,,Casa Loma,43.68254169999999,-79.4170644,Private room,75,1,78,2024-08-18,2.55,3,353,4,STR-2103-FRWRVC
699159362878378591,"Large Modern Basement Apartment & gym, sleeps 8.",476214167,Leann,,Long Branch,43.590507,-79.5332401,Entire home/apt,,28,35,2023-11-13,1.16,1,0,0,STR-2208-HWCBHL
699161891842885926,Luxury Condo/Free parking/Crib/Downtown Toronto,476213761,Akram,,Waterfront Communities-The Island,43.6441277,-79.38940579999999,Entire home/apt,320,2,90,2025-02-15,2.98,1,125,28,STR-2208-GTGVHH
699181409542465851,"Modern Condo (2BD+2BATH),
Free Parking",59961083,Maryan,,Etobicoke West Mall,43.64030659614156,-79.5628826578807,Entire home/apt,150,28,13,2024-11-16,0.44,1,61,5,
699189464535498725,Comfy room near GO Train!,32550714,Mehran,,Cliffcrest,43.71789122853359,-79.24681022731306,Private room,61,1,25,2025-02-15,0.86,4,146,12,STR-2209-FZLRVD
699253607320870832,Amazing Modern 2BR/2BA Condo with Free Parking!,476243011,Frank,,Islington-City Centre West,43.63839,-79.5362,Entire home/apt,138,1,57,2025-01-25,1.85,1,304,25,STR-2203-JCWXVM
699328025103792735,Cheerful and quiet 3 bedroom townhouse.,13563292,Jill,,Blake-Jones,43.67503099543507,-79.34044973740495,Entire home/apt,204,2,38,2024-11-24,1.37,1,20,5,STR-2209-FJJDVB
699431116011289772,lovely one bedroom-amazing view,205619013,Mirko,,Waterfront Communities-The Island,43.6400203,-79.38104109999999,Entire home/apt,,30,1,2023-07-17,0.05,2,0,0,
699446589939351821,1 Bedroom Suite in Queen West/Trinity Bellwoods,476288824,Marshall,,Trinity-Bellwoods,43.650040347978624,-79.42227904686054,Entire home/apt,99,2,70,2025-01-29,2.41,1,96,27,STR-2208-GRJBHG
699826736144129927,31-202 simple living space with private washroom,471873988,Kaixia,,Kensington-Chinatown,43.65503,-79.40137,Private room,78,28,3,2023-02-13,0.11,8,31,0,
699880325821846818,Lovely Gardens. Nearby top culture & nature.,315926644,Noah,,Roncesvalles,43.64526,-79.44113,Entire home/apt,156,1,84,2025-02-03,2.76,1,247,30,STR-2205-GVDDVH
699885340718758905,交通便利靠近mall的温馨客房,476374142,Amanda,,Don Valley Village,43.78429,-79.343011,Private room,,28,4,2024-04-06,0.16,2,365,1,
699906604489599891,Trendy private 1 Bedroom Cozy Apt newly renovated,476380857,Harinarayan,,Dovercourt-Wallace Emerson-Junction,43.6703,-79.43851,Entire home/apt,82,28,11,2024-11-16,0.37,3,90,4,
699971840318663856,Modern & elegant 1 bedroom downtown Toronto. #1,12742095,Emil & Sue,,North St.James Town,43.6697618,-79.3760123,Entire home/apt,201,28,4,2025-02-21,0.18,3,12,2,
