,10/06/2024,12/07/2024,07/08/2024,05/09/2024,05/10/2024,07/11/2024,08/12/2024,09/01/2025,09/02/2025,02/03/2025,07/04/2025,03/05/2025
host_acceptance_rate,0.018018123,0.015950886,0.003308002,0.01790527,0.019477537,0.015546894,0.016167296,0.020959445,0.018901061,0.019761552,0.020291958,0.019881063
host_is_superhost,-0.048833795,-0.205286728,-0.186372846,0.022532624,-0.288231643,-0.248163865,-0.190505844,-0.477880778,-0.582391906,-0.715130052,-0.28093773,-0.224471895
host_listings_count,,,,,-0.017207381,,,,,,0.012792213,
accommodates,-0.053863316,-0.102711995,-0.115961216,-0.083733073,-0.072390636,-0.010679968,-0.037348249,0.004368922,-0.009017477,-0.036202014,-0.073207436,0.020577088
bathrooms,0.403578648,0.491720987,0.356035549,0.327144358,0.405496519,0.433668681,0.405915788,,,0.338255316,0.436664896,0.235484333
bedrooms,-0.262919526,-0.276420968,-0.196248786,-0.230844738,-0.161400026,-0.28821938,-0.340529039,-0.177751979,-0.092683549,-0.350494982,-0.335644418,-0.274343697
price,0.000526312,0.001309577,0.00068795,0.001385423,0.000406354,0.000104493,0.000135523,,,0.001437108,0.001950103,0.000352426
minimum_nights,0.088137823,0.127826817,0.032933631,0.056342244,0.084147558,0.153116958,0.159643734,0.167556243,0.133555182,0.118459336,0.05976568,0.128158187
availability_30,0.001044188,0.010531544,-0.008272853,-0.033884267,-0.015786951,-0.000968132,-0.008833808,-0.009253802,-0.010405319,-0.004475295,-0.028507371,-0.013049349
availability_90,0.000234458,-0.002674153,-0.003243687,0.010454853,0.005112783,0.004888361,0.007177821,0.007277373,0.008018021,0.004943318,0.010044112,0.005517167
availability_365,0.000648419,0.001803482,0.001512336,0.001232117,0.000567677,-0.000279897,-0.000256314,0.000292133,-0.000432238,-0.000573224,2.06E-05,0.000293262
number_of_reviews,0.003427269,0.003208167,0.003954554,0.002085476,0.004607133,0.005316235,0.00280732,0.001416101,-0.002184444,-0.001842757,-0.001833052,-0.000188908
number_of_reviews_l30d,0.218052308,0.226046668,0.14739792,0.117272652,0.2025284,0.11132086,0.128802453,-0.016395868,-0.031246272,-0.051089326,-0.113461014,0.006615813
estimated_occupancy_l365d,,,,,,,,,0.011568048,0.011971615,0.011339506,0.003614873
instant_bookable,-0.407064304,-0.104318923,-0.239894056,-0.110628747,-0.481496754,-0.204338462,-0.204347327,-0.225532089,-0.319933161,-0.354870743,-0.013961125,-0.258749858
calculated_host_listings_count_entire_homes,-0.054357965,-0.152984466,-0.13667534,-0.110539632,-0.136851624,-0.035178336,-0.081869481,-0.113504708,-0.141887852,-0.073722434,-0.229657471,-0.163413255
calculated_host_listings_count_private_rooms,-0.350230737,-0.283579992,-0.242650258,-0.471907935,-0.317152984,-0.275846726,-0.243139392,-0.110379629,-0.140292268,-0.050427971,-0.087267674,-0.048668673
room_type_Hotel room,,,,,,,,,,,-17.74842145,-10.79527307
room_type_Private room,3.324802695,3.172252982,3.068806957,4.595240577,3.367671996,3.001712072,3.239388045,2.069099295,1.97027183,1.916570329,1.541570978,1.554237148
room_type_Shared room,-2.945903734,-2.378441619,-3.026327624,-3.757756469,-4.916999257,-6.091957875,-3.52255258,-2.497307314,-2.003374862,-2.31690307,-2.018838793,-3.610009022
